sample_id,canonical_drug_id,pred_xgb,pred_residualmlp,pred_gcn,ensemble_score,rank,is_top100
HCC1428,478,1.1782171726226807,4.219289302825928,0.5295960903167725,1.9608145952224731,8190,False
HCC1187,1030,0.6556668877601624,2.3069424629211426,4.695756912231445,1.9590675652027132,8191,False
HCC1428,1843,1.1782171726226807,4.219289302825928,0.5190436840057373,1.9587041139602661,8192,False
HCC1419,1039,0.11157553642988205,3.688840627670288,3.9786174297332764,1.9581634424626828,8193,False
HCC1187,1782,0.6556668877601624,2.3069424629211426,4.689966201782227,1.9579094231128695,8194,False
HCC1954,1114,-0.765163779258728,7.08784294128418,1.069955825805664,1.9577621579170228,8195,False
HCC1187,231,0.6556668877601624,2.3069424629211426,4.688302040100098,1.9575765907764437,8196,False
MDA-MB-436,1060,0.8211526274681091,3.6312878131866455,2.2861969470977783,1.9572020471096039,8197,False
HCC1419,376,0.11157553642988205,3.688840627670288,3.972012996673584,1.9568425558507443,8198,False
HCC1428,1829,1.1782171726226807,4.219289302825928,0.5089942216873169,1.956694221496582,8199,False
HCC1187,2157,0.6556668877601624,2.3069424629211426,4.673689842224121,1.9546541512012483,8200,False
MDA-MB-436,1738,0.8211526274681091,3.6312878131866455,2.265329599380493,1.953028577566147,8201,False
MDA-MB-436,380,0.8211526274681091,3.6312878131866455,2.2586591243743896,1.951694482564926,8202,False
HCC1428,170,1.1782171726226807,4.219289302825928,0.4761354327201843,1.9501224637031553,8203,False
HCC1187,1089,0.6556668877601624,2.3069424629211426,4.649056434631348,1.9497274696826936,8204,False
HCC1187,1253,0.6556668877601624,2.3069424629211426,4.647390365600586,1.9493942558765411,8205,False
HCC1187,2043,0.6556668877601624,2.3069424629211426,4.645437240600586,1.9490036308765413,8206,False
MDA-MB-436,1915,0.8211526274681091,3.6312878131866455,2.244529962539673,1.9488686501979828,8207,False
HCC1419,300,0.11157553642988205,3.688840627670288,3.9245762825012207,1.9473552130162717,8208,False
HCC1419,1433,0.11157553642988205,3.688840627670288,3.9237101078033447,1.9471819780766966,8209,False
HCC1419,1425,0.11157553642988205,3.688840627670288,3.9189255237579346,1.9462250612676144,8210,False
HCC1419,1624,0.11157553642988205,3.688840627670288,3.9161171913146973,1.945663394778967,8211,False
HCC1187,1067,0.6556668877601624,2.3069424629211426,4.628252029418945,1.9455665886402131,8212,False
MDA-MB-436,1401,0.8211526274681091,3.6312878131866455,2.2189724445343018,1.9437571465969086,8213,False
HCC1419,1625,0.11157553642988205,3.688840627670288,3.9008142948150635,1.9426028154790402,8214,False
MDA-MB-436,1262,0.8211526274681091,3.6312878131866455,2.206901788711548,1.9413430154323579,8215,False
HCC1187,17,0.6556668877601624,2.3069424629211426,4.603673934936523,1.9406509697437286,8216,False
